Set,a,mu,sigma,q,delta,nu,tau,Kf
Early,0.922252762,2.001382904,0.884483348,0.861241,0.736471094,0.522336484,0.566572763,8.362695308
Early,0.866060044,2.395971172,0.966647865,0.851502983,0.691886529,0.541038358,0.521953517,8.372549649
Early,0.905974121,1.988541805,0.772668321,0.81204644,0.571625234,0.593487572,0.477592338,8.099018073
Early,0.933576236,1.667056627,0.788050675,0.856093017,0.500381615,0.445738673,0.393196415,7.715000071
Early,0.941724266,1.774240453,0.806577266,0.861433109,0.55951507,0.478678594,0.362870519,7.66470058
Early,0.867108141,2.138000247,0.76246447,0.872721158,0.429081303,0.521832858,0.493130233,6.360449873
Early,0.910513246,2.075087561,0.806383731,0.829620503,0.689028963,0.50971373,0.590935959,8.490857229
Early,0.862827482,2.409307668,0.881639442,0.83162048,0.695144652,0.548126221,0.731785736,7.660027658
Early,0.868701784,2.230285125,0.935978049,0.80647792,0.536521932,0.468526359,0.571101737,8.112852947
Early,0.865683821,2.074639171,0.83619038,0.837192879,0.724103675,0.527415232,0.555158495,8.433261739
Early,0.88172899,2.079568169,0.862833358,0.874281394,0.908961355,0.535202864,0.644509669,9.856504179
Early,0.872470941,2.09678147,0.81191463,0.858055223,0.59239454,0.506813673,0.481315064,7.915323591
Early,0.926840581,2.05041474,0.909368174,0.848876767,0.469564376,0.475974449,0.515300564,6.602609188
Early,0.927869378,1.885829774,0.79005801,0.908442634,0.566256063,0.499521277,0.452541114,7.989296461
Early,0.884972278,2.001388404,0.879376518,0.868329659,0.849937186,0.511102625,0.490300409,9.14367625
Early,0.92008106,1.984554385,0.835639133,0.846150924,0.510291034,0.511082144,0.489573516,7.303811694
Early,0.902844056,2.132848214,0.824159673,0.841825387,0.632147471,0.511919583,0.650169967,7.683910536
Early,0.908004441,1.916482756,0.889759949,0.875244027,0.466191573,0.519206648,0.387228823,6.888987157
Early,0.932603232,1.869016946,0.881789157,0.843556783,0.557445707,0.438819339,0.35580115,8.354737871
Early,0.868051119,2.01230493,0.900267715,0.80376237,1.009683078,0.469018526,0.526894255,10.10967735
Late,0.925389367,2.089450555,0.987937541,0.867282031,0.621744939,0.485425313,0.486014607,8.636076812
Late,0.914785396,2.088637197,0.872757985,0.866602719,2.358591396,0.500170499,0.561117888,17.10174084
Late,0.850731942,2.230404286,0.646298834,0.818905188,0.293683048,0.498525777,0.60281239,3.3043695
Late,0.87849556,2.027214512,0.72242074,0.854469765,1.060664265,0.488435294,0.486811957,11.30528845
Late,0.898268328,2.027891914,0.926982288,0.856214411,0.331593944,0.467698412,0.591247237,2.868617575
Late,0.917348788,1.465325339,1.427485319,0.880567129,5.660412212,0.422656581,0.202952554,23.44648419
Late,0.871328785,2.168980132,0.799801139,0.830356123,2.034547173,0.496652096,0.587175552,14.74135503
Late,0.896875215,2.028522158,0.593297415,0.834538509,0.651719759,0.512172076,0.658459374,8.255619279
Late,0.907433042,2.221289655,0.809334512,0.846620536,0.907277658,0.502813305,0.621833246,10.68823575
Late,0.884132408,1.853351785,1.06142292,0.850708016,4.154237175,0.451730351,0.374923697,19.61620419
Late,0.901902096,1.924318691,0.749272916,0.86277312,1.925220619,0.462994126,0.462777691,15.28589191
Late,0.889207241,2.225333328,0.860209316,0.841825878,0.431888661,0.519872779,0.713167853,5.313209372
Late,0.92799909,1.935756041,1.057088772,0.896727423,0.739696019,0.477941024,0.432169648,10.06662898
Late,0.877331479,1.900284014,0.811481928,0.836529667,0.733135856,0.50030931,0.464060318,9.457106625
Late,0.904915498,1.955218066,0.747562618,0.859348326,2.771429389,0.465726185,0.41378883,18.428348
Late,0.914303612,1.912240284,0.912157013,0.873148654,1.126160451,0.468540502,0.59150405,12.93933369
Late,0.924171565,1.820516745,0.811772493,0.817995381,1.034366594,0.541019348,0.599566934,12.2367856
Late,0.914369163,1.784067151,0.802796564,0.852581469,1.375614086,0.467859717,0.420217259,14.16669125
Late,0.918986347,1.856219139,0.989737534,0.895174051,0.309648558,0.467508642,0.540122363,3.589523728
Late,0.898716462,1.826423362,0.919872863,0.857121238,0.315763809,0.471375821,0.506365561,3.522247659
