dist,feeder
28.6,1
71,1
36.2,1
89.4,1
25.5,1
160.3,1
337.1,1
238.7,1
545.4,1
148.7,1
110.7,1
54.1,1
136.3,1
24.1,1
75,1
54.9,1
34.3,1
196.5,1
25.4,1
48.8,1
183.5,1
200.7,1
67.5,1
68.3,1
49,1
50.4,1
183.2,1
60.8,1
5.6,1
22.9,1
171.8,1
65.9,1
44.8,1
39.5,1
32.5,1
49.9,1
86.6,2
26,2
10,2
6.3,2
25.3,2
36.8,2
49.7,2
52.2,2
54.4,2
63.5,2
18.4,2
119.1,2
110,2
119.1,2
62.1,2
55.1,2
50.2,2
39.6,2
38.3,2
17.3,2
24.6,2
33.9,2
27.8,2
32.9,2
46,2
23.4,2
37.2,2
45.3,2
21.2,2
27.5,2
38.3,2
37.8,2
435.4,2
48.6,2
49.3,2
46.1,2
58.8,2
63.1,2
30.6,2
25.1,2
54.4,2
45.5,2
69.7,2
21.5,2
37,2
74.5,3
38.5,3
98.2,3
110.5,3
64.4,3
82.7,3
17.5,3
17.1,3
79.9,3
65.2,3
60.9,3
76,3
25.3,3
87,3
284.3,3
196.5,3
13.4,3
10.8,3
60.6,3
41.5,3
76,3
55.5,3
54.8,3
62.9,3
110.1,3
83.3,3
11.5,3
114,3
35.8,3
11.5,3
47.5,3
56.9,3
43.4,3
65,5
13.7,5
58.8,5
28.6,5
27.3,5
87.2,5
57.5,5
25.6,5
56.5,5
60.8,5
67.8,5
141.5,5
27,5
17.2,5
83.3,5
15.7,5
48.6,4
66.8,4
6.7,4
94.6,4
104.6,4
157.8,4
102.9,4
35.4,4
59.5,4
168.3,4
22.4,4
22.4,4
14.5,4
17.6,4
47.5,4
17.6,4
18.1,4
11.2,4
94.8,4
2.8,4
40.3,4
12.1,4
14.9,4
44.7,4
18,4
20.9,4
41.3,4
